folder,video_file,video_path,caption
Anigre,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Anigre/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a piece of fabric or a wall. The surface is predominantly light-colored, with a subtle, almost neutral tone that could be described as beige or off-white. The texture appears to be rough and uneven, with visible fibers or threads running in various directions, giving it a somewhat coarse appearance. The overall composition of the clip is simple, focusing solely on the texture and color of the surface without any additional objects or elements in the frame. The camera"
Wood Panels 01,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood Panels 01/btf_sequence.mp4,"The video clip showcases a close-up view of a decorative ceiling panel. The panel is composed of multiple square sections, each featuring intricate designs and patterns. The predominant color of the panel is a rich, warm brown, giving it an antique and elegant appearance. Each square section is bordered by a decorative frame that includes vertical and horizontal lines, adding depth and texture to the overall design. The central part of each square is adorned with a floral motif, which is detailed and symmetrical, contributing to the panel's ornate aesthetic. The floral designs are surrounded by additional geometric patterns, enhancing the complexity and visual interest of the panel."
Wood 063,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood 063/btf_sequence.mp4,"The video clip features a close-up view of a wooden surface. The surface is relatively flat, with no significant imperfections or anomalies visible. The overall appearance suggests a clean and well-maintained wooden surface, possibly used for furniture or flooring. The video does not show any movement or additional objects, focusing solely on the wooden surface."
Bricks 016,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Bricks 016/btf_sequence.mp4,"The video clip showcases a close-up view of a brick wall. The bricks are uniformly arranged in a pattern, with each brick having a slightly different shade of brown or beige. The mortar between the bricks is white, providing a stark contrast to the darker bricks. The wall appears to be well-maintained, with no visible cracks or damage. The camera remains stationary throughout the clip, allowing the viewer to focus on the details of the brick wall. The overall scene is simple yet visually appealing, with the brick wall serving as the sole subject of the"
Tiles 012,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 012/btf_sequence.mp4,"The video clip depicts a close-up view of a checkered floor, which consists of alternating black and white squares. The floor appears to be made of tiles, and each tile has a distinct pattern of veins or lines running through it, giving it a marble-like appearance. The camera angle is slightly tilted, providing a dynamic perspective that emphasizes the geometric arrangement of the tiles. The overall scene is clean and well-lit, with no visible objects or people present, allowing the viewer to focus solely on"
Bricks 081 A X Concrete 019,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Bricks 081 A X Concrete 019/btf_sequence.mp4,"The video clip features a close-up view of a brick wall. The bricks are arranged in a horizontal pattern, with each brick overlapping slightly with the one below it. The bricks are uniformly rectangular in shape and appear to be made of a light-colored material, possibly concrete or a similar substance. The surface of the bricks shows some signs of wear and tear, with visible cracks and slight discoloration. The overall scene is static, with no movement or action taking place. The focus remains on the detailed"
Others 0011,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Others 0011/btf_sequence.mp4,"The video clip features a series of yellow and black warning tapes laid out on a flat surface. The tapes are arranged in a grid-like pattern, creating a sense of order and structure. Each tape has a different warning message printed on it, including phrases such as ""DO NOT CROSS,"" ""WARNING,"" and ""CAUTION."" The tapes are placed in a way that they overlap slightly, forming a continuous pattern. The background is a solid color, which helps to emphasize the contrast between the yellow and black tapes. The overall effect is a"
1407 Stylized Wood Planks V2,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1407 Stylized Wood Planks V2/btf_sequence.mp4,"The video clip features a close-up view of a textured surface that appears to be made of wood. The wood grain is prominently visible, with a series of diagonal lines creating a pattern that gives the impression of a wooden floor or paneling. The color of the wood is a warm, golden-brown hue, with variations in shading that add depth and realism to the texture. The overall scene is static, with no movement or action taking place. The focus is solely on the detailed texture and color of the wooden surface."
Concrete 0011,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Concrete 0011/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is characterized by a series of irregular, rounded shapes that resemble pebbles or stones. These shapes are distributed across the entire visible area, creating a pattern that is both random and somewhat uniform. The colors of the surface are muted, with shades of gray and beige predominating. The texture appears rough and uneven, with some areas showing more pronounced ridges and others appearing smoother. The overall effect is one of"
1263 Dark Stone Tiles,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1263 Dark Stone Tiles/btf_sequence.mp4,"The video clip depicts a close-up view of a surface covered in a textured, white material. The surface appears to be made up of small, irregularly shaped particles or grains, creating a rough and uneven texture. Scattered across the surface are numerous small, dark spots or markings. These spots vary in size and shape, with some appearing more elongated and others more rounded. The dark markings contrast sharply with the white background, making them stand out prominently. The overall scene gives the impression of a detailed, close-up examination of a material with a unique texture and pattern."
983 Snow,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/983 Snow/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a piece of fabric or paper. The surface is predominantly white, with some darker spots scattered throughout. The overall appearance is somewhat abstract, with no distinct shapes or figures visible. The texture seems to be the main focus of the video, with the camera remaining stationary throughout."
Bricks 020,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Bricks 020/btf_sequence.mp4,"The video clip features a close-up view of a brick wall. The bricks are arranged in a horizontal pattern, with each brick having a uniform rectangular shape. The color of the bricks is a muted brown, with slight variations in shade, giving the wall a slightly textured appearance. The grout lines between the bricks are white, providing a contrast to the brown bricks and adding to the overall aesthetic of the wall. The wall appears to be well-maintained, with no visible cracks or damage. The camera remains stationary throughout the clip, providing a"
Facades 05,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Facades 05/btf_sequence.mp4,"The video clip features a close-up view of a metallic surface, possibly a wall or a panel, with a repetitive pattern of rectangular and square shapes. The surface is composed of various metallic textures and colors, including shades of silver, gray, and black. The rectangular shapes are arranged in a grid-like pattern, alternating between smooth and textured surfaces. The squares are interspersed among the rectangles, creating a visually interesting contrast. The camera angle is slightly tilted, providing a dynamic perspective of the metallic surface."
Ground 025 X Snow 009 A,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Ground 025 X Snow 009 A/btf_sequence.mp4,"The video clip features a close-up view of a textured surface. The primary colors visible are shades of beige and white. The surface appears to be made of a material with a rough, uneven texture, characterized by patches of beige color scattered across a white background. The beige patches vary in size and shape, creating a somewhat abstract and organic pattern. The overall effect is a visually intriguing and somewhat chaotic pattern that draws the viewer's attention to the texture and color variations."
Tiling 68,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiling 68/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a large panel, with a consistent pattern throughout. The texture appears to be a combination of vertical and horizontal lines, creating a grid-like appearance. The camera remains stationary throughout the clip, providing a stable and focused view of the textured surface. The overall impression is one of simplicity and minimalism, with the repeating pattern adding a sense of order and uniform"
Chainmail 001,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Chainmail 001/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, which appears to be a piece of fabric or a woven material. The texture is consistent throughout the frame, with a repeating pattern of small, interlocking loops or knots. The color of the material is a dark gray or black, giving it a somewhat monochromatic appearance. There are no other objects or elements present in the frame, allowing the viewer to focus solely on the texture and pattern of the material. The overall impression is one of durability and craftsmanship, suggesting"
423 Old Wood,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/423 Old Wood/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly gray, with some areas showing a slightly darker gray or almost black color. The texture seems to be made up of small, irregular particles or fibers, giving it a somewhat grainy appearance. The overall scene is static, with no movement or action taking place. The focus remains on the detailed texture of the"
Road 001,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Road 001/btf_sequence.mp4,"The video clip features a textured, gray background with a series of vertical white lines running through it. Scattered across the background are various rectangular shapes, each with a different shade of gray. These shapes vary in size and orientation, creating a sense of randomness and disarray. The overall effect is a visually intriguing pattern that combines geometric shapes with a textured backdrop. The white lines add a contrasting element to the otherwise monochromatic scene, drawing attention to the irregular distribution of the gray rectangles."
Red Bricks 02,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Red Bricks 02/btf_sequence.mp4,"The video clip showcases a close-up view of a textured brick wall. The wall is composed of variously sized and colored bricks, primarily in shades of beige, brown, and gray. The bricks are arranged in a somewhat irregular pattern, creating a sense of depth and complexity. The wall appears to be old, with some bricks showing signs of wear and slight discoloration. The overall scene gives a sense of durability and age, typical of"
Red Plaster Weathered,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Red Plaster Weathered/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly pinkish-brown in color, with a rough, uneven texture that appears to be made up of small particles or grains. There are a few small, dark spots scattered across the surface, which could be imperfections or natural variations in the material. The camera remains stationary throughout the clip"
Bricks 081 C,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Bricks 081 C/btf_sequence.mp4,"The video clip features a close-up view of a brick wall. The surface of the bricks appears to be slightly worn, with some visible signs of aging or weathering, such as small cracks and slight discoloration. The overall scene is static, with no movement or action taking place. The focus remains on the detailed texture"
Tiles 104,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 104/btf_sequence.mp4,"The video clip showcases a close-up view of a tiled surface, likely a wall or floor, featuring a repetitive and intricate pattern. The tiles are predominantly white, providing a clean and neutral background. Superimposed on this background are blue decorative elements that form a symmetrical design. The pattern consists of a series of interconnected shapes, including swirls, loops, and geometric figures, arranged in a grid-like fashion. The blue elements are evenly spaced and evenly distributed across the tiles, creating a harmonious and visually appealing design. The overall effect is one of elegance and symmetry, with the blue patterns standing out against the white tiles. The video"
Ground 040 X Snow 005,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Ground 040 X Snow 005/btf_sequence.mp4,"The video clip depicts a close-up view of a wet, reflective surface, likely a pavement or a sidewalk, covered in a layer of water and scattered with fallen leaves. The leaves are primarily of various shades of brown, orange, and yellow, indicating that the scene is set during the autumn season. The overall atmosphere of the clip is serene and reflective, with the water and leaves creating a natural and tranquil scene."
Tiles 0090,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 0090/btf_sequence.mp4,"The video clip features a close-up view of a patterned surface, likely a floor or wall. The pattern consists of a series of interconnected geometric shapes, predominantly in shades of gray and white. The shapes appear to be a combination of stars and crosses, creating a repetitive and intricate design. The surface shows signs of wear and tear, with visible scratches and minor imperfections, suggesting it is an older or frequently used area. The overall atmosphere of the clip is one of quiet and stillness, with no movement or sound, allowing the viewer to focus"
Concrete 041 C X Moss 004,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Concrete 041 C X Moss 004/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, which appears to be a wall or a piece of fabric. The surface is predominantly covered in a pattern of irregular, rounded shapes that are filled with a greenish hue. These shapes vary in size and are distributed across the surface in a somewhat random fashion. The background color of the surface is a muted, neutral tone, possibly gray or beige, which contrasts with the green shapes. The texture of the surface is rough and uneven, with visible imperfections and variations in the material. The green shapes seem to be either paint or some form of applied decoration, as they have a"
PaintedPlaster002 009,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/PaintedPlaster002 009/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a piece of fabric. The surface is predominantly yellowish-green in color, with a rough, uneven texture. There are several patches where the material appears to be peeling or flaking off, revealing a lighter, almost white or off-white layer underneath. The peeling areas vary in size and shape, creating a somewhat abstract pattern across the surface. The overall effect is one of aged or weathered material, with a sense of wear"
Patio Tiles,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Patio Tiles/btf_sequence.mp4,"The video clip features a close-up view of a tiled surface, likely a wall or floor, with a consistent pattern of square tiles. The tiles are uniformly arranged in a grid-like fashion, creating a repetitive and structured appearance. The tiles appear to be made of ceramic or a similar material, as indicated by their smooth texture and slight sheen. There are no other objects or elements visible in the frame, focusing"
1184 Wenge,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1184 Wenge/btf_sequence.mp4,"The video clip depicts a close-up view of a metallic surface, likely a floor or a wall, with a series of horizontal and diagonal lines. The surface appears to be made of metal, possibly stainless steel or aluminum, given its reflective and shiny nature. The lines are evenly spaced and create a grid-like pattern across the surface. The overall scene gives a sense of a clean, industrial, or high-tech environment."
Fabric 65 5,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 65 5/btf_sequence.mp4,"The video clip features a close-up view of a textured surface with a repeating pattern. The pattern consists of small, interconnected shapes that resemble a series of interconnected triangles or hexagons. The shapes are arranged in a grid-like fashion, creating a sense of order and symmetry. The texture of the surface appears to be slightly rough, with small bumps and indentations that add depth and dimension to the pattern. The overall effect is a visually pleasing and intricate design that draws the viewer's attention and invites exploration."
Asphalt 024 A,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Asphalt 024 A/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, which appears to be a piece of paper or a similar material. The surface is predominantly gray, with a slightly rough texture that suggests it might be made of a fibrous material. The background is completely out of focus, ensuring that the viewer's attention remains solely on the textured surface. There are no other objects or actions present in the video, making it a simple yet detailed representation of the material's texture."
885 Leather Interior,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/885 Leather Interior/btf_sequence.mp4,"The video clip features a close-up view of a textured surface. The texture appears to be a series of small, raised bumps or nodules that cover the entire visible area. The bumps are irregular in shape and size, creating a somewhat uneven and bumpy surface. The overall appearance of the surface suggests it could be a type of fabric, a wall, or a piece of material with"
63 Cardboard,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/63 Cardboard/btf_sequence.mp4,"The video clip depicts a close-up view of a piece of corrugated cardboard. The cardboard is primarily beige in color, with a textured surface consisting of parallel ridges running horizontally across the material. The cardboard appears to be partially torn or damaged, as there are areas where the paper has been peeled away, revealing a white, smooth backing. The torn edges of the cardboard are jagged and uneven, indicating that it has been manually ripped rather than cut with a knife or scissors. The overall scene focuses on the texture and condition of the cardboard, highlighting the contrast between the ridged surface and the smooth, exposed backing."
641 Metal 006,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/641 Metal 006/btf_sequence.mp4,"The video clip depicts a close-up view of a cracked and scratched surface, likely a piece of glass or a similar material. The surface is predominantly dark, with numerous diagonal and horizontal lines creating a web-like pattern of cracks. The cracks vary in size and intensity, with some appearing more prominent and others blending into the background. The overall atmosphere of the clip is one of decay and fragility, with the cracks suggesting a sense of wear and tear. The dark background further accentuates the cracks, making them"
Tiling 20,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiling 20/btf_sequence.mp4,"The video clip features a close-up view of a white tiled floor. The tiles are square and arranged in a grid pattern, with thin gray grout lines separating them. The camera angle is slightly tilted, providing a slightly angled view of the tiles. The overall scene is clean and minimalistic, with the white tiles dominating the frame. The video has a static nature, focusing on the tiles and their reflective properties."
798 Metal Overlaping Plates Bolted,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/798 Metal Overlaping Plates Bolted/btf_sequence.mp4,"The video clip features a close-up view of a metallic surface, likely part of a machine or industrial equipment. The surface is composed of several rectangular panels, each secured with numerous small, evenly spaced rivets. The panels are arranged in a grid-like pattern, creating a repetitive and structured appearance. The metal appears to be weathered and worn, with visible scratches and dents, suggesting it has been exposed to various elements over time. The overall scene conveys a sense of industrial strength and durability, with"
Fabrics 0074,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabrics 0074/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a fabric or a piece of material with a grid-like pattern. The grid pattern consists of intersecting lines that create a series of small squares or rectangles. The lines are evenly spaced, giving the surface a structured and organized appearance."
Scifi Panels 11,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Scifi Panels 11/btf_sequence.mp4,"The video clip features a metallic, industrial-looking panel with a series of rectangular and square shapes. The panel is divided into several sections, each with a different design element. At the top of the panel, there are two horizontal rectangular sections, one on each side, with a darker shade of metal. Below these sections, there is a central rectangular area with a lighter, more reflective surface. This central area has a series of smaller, rectangular cutouts or slots, creating a grid-like pattern. The bottom section of the"
Metal 0028,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Metal 0028/btf_sequence.mp4,"The video clip features a close-up view of a metallic manhole cover situated on a concrete surface. The manhole cover is circular in shape and has a textured surface with a grid-like pattern, which is typical for such covers to provide traction and prevent slipping. The cover appears to be made of a durable material, likely steel or cast iron, given its robust and weathered appearance. The manhole cover has several inscriptions and markings on it. At the top center, there is a rectangular label with the text ""KENT"" printed on it. Below this label, there is another rectangular section with the text ""NKVD"" ins"
Metal 028,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Metal 028/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric, with a consistent pattern throughout. The primary colors in the video are shades of gray and black, creating a monochromatic and somewhat somber atmosphere. The surface appears to be rough and uneven, with visible fibers or threads running in various directions, giving it a tactile quality. The lights are positioned at different angles, creating a stark contrast between the illuminated and shadowed areas."
Wood 050,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood 050/btf_sequence.mp4,"The video clip features a close-up view of a wooden surface. The wood appears to be light-colored, possibly a type of pine or birch, with a smooth texture and a subtle grain pattern. The camera remains stationary throughout the clip, providing a consistent view of the wooden surface. The overall scene is simple and minimalistic, focusing solely on the texture and color of the wood."
Metal 0003,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Metal 0003/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a piece of metal or a metallic object. The surface is characterized by a repetitive pattern of rectangular shapes arranged in a grid-like fashion. Each rectangle is filled with a series of horizontal lines that create a sense of depth and dimension. The overall color palette of the surface is a mix of metallic tones, predominantly silver and gray, with subtle variations in shading that give it a three-dimensional appearance. The texture of the surface appears rough and uneven, with visible imperfections and variations in the pattern."
225 Bark Old Ginko,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/225 Bark Old Ginko/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a rock or a stone. The surface is characterized by a series of ridges and grooves that create a pattern of lines and curves. The texture appears rough and uneven, with variations in the depth and orientation of the ridges. The overall color palette is muted, with shades of gray and brown dominating the scene. The video does not show any movement or additional objects, focusing solely on the detailed texture of the surface."
Diamond Plate 002,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Diamond Plate 002/btf_sequence.mp4,"The video clip features a close-up view of a metallic surface with a distinctive pattern. The surface is composed of a series of diamond-shaped indentations arranged in a grid-like fashion. The pattern is consistent throughout the visible area, creating a repetitive and geometric design. The overall texture of the surface is rough and uneven, with the diamond shapes protruding slightly from the flat plane. The camera remains stationary throughout the"
1495 Skin Facial Hair,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1495 Skin Facial Hair/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a wall or a piece of fabric. The texture appears to be made up of small, raised bumps or nodules that are evenly distributed across the surface. The bumps are of varying sizes and are arranged in a somewhat random pattern. The camera remains stationary throughout the clip, providing a consistent view of the textured surface."
Fabric 045,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 045/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture appears to be rough and uneven, with visible cracks and crevices. The overall composition of the clip is simple, focusing solely on the detailed texture of the material."
Metal 0025,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Metal 0025/btf_sequence.mp4,"The video clip features a metallic surface with a series of horizontal lines running across it. The surface appears to be made of a polished metal, likely stainless steel, given its reflective and shiny appearance. The lines are evenly spaced and create a grid-like pattern across the surface. The overall scene is static, with no movement or action taking place. The focus is solely on the metallic surface and its reflective properties."
Tiles 0029,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 0029/btf_sequence.mp4,"The video clip features a close-up view of a tiled surface, likely a floor or wall, covered in square tiles. The surface is smooth and reflective, suggesting it might be made of ceramic or porcelain. The camera angle remains relatively consistent throughout the clip, providing a clear and detailed view of the tiles. There are no other objects or actions visible in the video, and the focus is solely on the tiled surface"
Wood Planks Paintedv 2,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood Planks Paintedv 2/btf_sequence.mp4,"The video clip features a close-up view of a white wooden surface with horizontal lines. The surface appears to be made of wood, and the lines are evenly spaced, creating a grid-like pattern. The wood has a smooth texture, and the lines are slightly darker than the rest of the surface, giving a sense of depth and dimension. The overall scene is simple and minimalistic, with the focus solely on the wooden surface and its lines."
989 Marble Stone,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/989 Marble Stone/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a piece of fabric or a piece of paper. The surface is predominantly white or light-colored, with a series of diagonal lines or streaks running across it. These lines appear to be slightly wavy or irregular, giving the surface a somewhat organic, natural look. The highlights are scattered across the surface, with some areas appearing more brightly lit"
Fabrics 0047,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabrics 0047/btf_sequence.mp4,"The video clip depicts a serene and minimalist scene. The background is predominantly white, creating a calm and peaceful atmosphere. The overall composition is simple and uncluttered, with no discernible objects or figures present."
681 Trunk,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/681 Trunk/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture appears to be rough and uneven, with various patterns and shapes visible. The surface is predominantly white or light-colored, with some darker areas scattered throughout. The overall appearance of the surface suggests a tactile quality, inviting the viewer to imagine the feel of the material. The video does not show any movement or action, focusing solely on the texture and patterns of the surface."
355 Metal Brushed Copper,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/355 Metal Brushed Copper/btf_sequence.mp4,"The surface appears to be made of a material with a rough, grainy texture, possibly concrete or a similar material."
Tiles 0078,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Tiles 0078/btf_sequence.mp4,"The video clip features a patterned surface with a repetitive geometric design. The pattern consists of interconnected shapes that resemble a series of interconnected triangles or a stylized floral motif. The shapes are arranged in a grid-like fashion, creating a sense of order and symmetry. The color palette is primarily composed of shades of yellow and white, with the yellow shapes standing out against the white background. The overall effect is one of simplicity and elegance, with the repeating pattern providing a sense of rhythm and movement. The surface appears to be smooth and flat, with no visible texture or additional elements."
Solar Panel 001,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Solar Panel 001/btf_sequence.mp4,"The video clip features a close-up view of a solar panel, which is divided into several square sections. The panel appears to be made of a dark material, possibly metal or plastic, and is marked with a grid of smaller squares. The reflections seem to be of a natural environment, possibly trees or foliage, suggesting that the panel is outdoors. The overall scene is static, with no movement or action taking place. The focus is solely on the solar panel and its reflective surface."
Concrete 0002,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Concrete 0002/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The texture is somewhat reminiscent of concrete or plaster, with visible cracks and crevices that add to the overall roughness. The camera remains stationary throughout the clip, providing a consistent view of the textured surface. The overall mood of the video is one of simplicity and minimalism, with the focus"
996 Marble Stone,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/996 Marble Stone/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a fabric or a piece of paper. The texture appears to be composed of small, raised dots or bumps, creating a pattern that is both repetitive and visually intriguing. The surface is predominantly white or light-colored, with the dots varying slightly in size and spacing, giving it a somewhat organic and irregular appearance. The highlights are particularly noticeable"
1793 Bricks,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1793 Bricks/btf_sequence.mp4,"The video clip depicts a dark, abstract scene with a series of vertical lines and shapes that appear to be moving and shifting. The overall color palette is dominated by shades of black and gray, creating a sense of depth and dimension. The lines and shapes seem to be in constant motion, giving the impression of a dynamic, ever-changing environment. The scene has a somewhat chaotic and surreal quality, with the lines and shapes appearing to be in constant flux. The video has a hypnotic and mesmerizing effect, drawing the viewer's attention to the ever-changing patterns"
Metal Plates 013,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Metal Plates 013/btf_sequence.mp4,"The video clip depicts a close-up view of a metallic surface, likely a wall or a panel, composed of several square or rectangular metal plates. The metal appears to be aged and weathered, with a patina that suggests exposure to the elements over time. The plates are held together by visible bolts or rivets, which are evenly spaced and provide structural integrity to the surface. The overall texture is rough and uneven, with variations in color ranging from dark brown to gray, indicating rust or oxidation. The movement of the"
Fabric 64 6,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 64 6/btf_sequence.mp4,"The video clip features a close-up view of a textured surface with a repetitive floral pattern. The pattern consists of small, delicate flowers and leaves arranged in a symmetrical, repeating design. The texture appears to be raised, giving the surface a three-dimensional quality. The overall aesthetic is elegant and refined, suggesting that this surface could be part of a decorative item, such as wallpaper, fabric, or a piece of art. The video focuses on"
Plastic 003,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Plastic 003/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, likely a wall or a piece of fabric. The surface appears to be made of a material with a rough, uneven texture, possibly a type of leather or a similar material. The color of the surface is a muted, earthy tone, possibly brown or beige. The texture is characterized by visible creases and wrinkles, giving it a somewhat worn and aged appearance. The overall mood of the video is somewhat subdued and atmospheric, focusing"
